Date,Open,High,Low,Close
20-June-2018,713.45,716.69,712.29,715.73,
21-June-2018,716.63,718.50,711.07,711.70,
22-June-2018,711.87,718.48,709.53,717.62,
25-June-2018,720.41,720.55,712.96,713.72,
26-June-2018,712.46,715.97,711.98,713.50,
27-June-2018,714.09,716.05,705.32,706.70,
28-June-2018,707.23,707.39,698.21,699.28,
29-June-2018,701.73,712.16,701.48,711.41,
2-July-2018,714.94,715.35,704.48,706.61,
3-July-2018,705.84,712.29,703.11,711.43,
4-July-2018,710.87,718.71,709.26,717.89,
5-July-2018,717.65,718.13,709.88,710.75,
6-July-2018,711.13,717.28,707.68,713.03,
9-July-2018,715.94,721.42,715.75,720.41,
10-July-2018,723.78,726.01,722.34,725.19,
11-July-2018,725.70,726.70,719.41,719.88,
12-July-2018,722.86,730.55,722.11,724.50,
13-July-2018,726.78,729.00,721.72,725.61,
16-July-2018,729.20,729.20,717.84,718.78,
17-July-2018,719.91,721.73,715.14,720.42,
18-July-2018,723.42,724.18,713.52,715.85,
19-July-2018,717.41,717.76,709.52,712.83,
20-July-2018,712.06,722.66,710.46,721.11,
23-July-2018,723.22,728.17,720.08,727.66,
24-July-2018,731.08,737.10,729.44,736.19,
25-July-2018,738.86,742.85,737.38,738.71,
26-July-2018,740.47,742.81,734.75,736.73,
27-July-2018,738.73,742.95,738.09,742.08,
30-July-2018,744.34,744.61,740.00,743.79,
31-July-2018,744.76,751.60,740.61,750.80,
1-August-2018,752.87,755.20,746.41,749.85,
2-August-2018,750.50,750.50,743.43,745.04,
3-August-2018,750.57,754.41,750.43,751.51,
6-August-2018,753.23,755.04,750.83,751.51,
7-August-2018,754.98,755.73,749.13,753.99,
8-August-2018,755.60,759.82,752.69,758.05,
9-August-2018,761.07,762.38,755.88,756.91,
10-August-2018,757.84,757.84,749.92,750.63,
13-August-2018,749.00,749.00,742.47,743.07,
14-August-2018,746.45,750.94,744.32,750.61,
16-August-2018,748.58,749.64,740.21,742.36,
17-August-2018,745.84,750.72,745.78,749.96,
20-August-2018,754.64,760.83,754.32,760.32,
21-August-2018,762.38,763.32,758.57,759.77,
23-August-2018,761.76,762.71,756.15,758.85,
24-August-2018,760.23,760.79,755.45,757.27,
27-August-2018,761.48,768.27,761.15,767.29,
28-August-2018,770.64,771.61,767.17,770.73,
29-August-2018,772.06,773.44,768.80,769.62,
30-August-2018,770.40,770.40,766.42,767.35,
31-August-2018,768.58,772.71,763.47,765.76,
3-September-2018,769.02,769.80,755.51,756.57,
4-September-2018,758.85,759.42,740.93,743.13,
5-September-2018,741.52,742.53,727.84,736.41,
6-September-2018,739.80,743.05,734.51,738.73,
7-September-2018,741.04,747.76,737.23,746.64,
10-September-2018,747.20,747.20,731.88,733.05,
11-September-2018,735.74,736.62,719.52,720.59,
12-September-2018,722.80,728.08,715.11,726.96,
14-September-2018,732.10,741.39,732.10,740.78,
17-September-2018,740.04,740.04,730.35,731.92,
18-September-2018,733.64,736.36,725.10,726.23,
19-September-2018,728.11,730.18,719.16,720.85,
21-September-2018,725.27,729.85,672.19,705.55,
24-September-2018,707.51,708.35,690.29,692.18,
25-September-2018,692.16,702.65,684.70,701.17,
26-September-2018,707.84,708.40,696.96,698.91,
27-September-2018,700.70,701.71,691.56,692.76,
28-September-2018,696.73,697.08,682.88,688.59,
1-October-2018,687.41,692.80,679.77,690.66,
3-October-2018,691.89,691.89,675.64,677.34,
4-October-2018,672.63,672.63,655.60,659.67,
5-October-2018,658.22,660.93,644.85,649.38,
8-October-2018,648.79,654.85,641.40,651.70,
9-October-2018,654.54,655.10,641.56,644.85,
10-October-2018,648.94,662.67,646.14,660.85,
11-October-2018,646.34,651.52,637.20,644.36,
12-October-2018,649.84,664.80,649.56,663.48,
15-October-2018,668.04,668.05,657.11,661.44,
16-October-2018,664.39,669.78,664.08,667.00,
17-October-2018,673.21,675.72,655.78,656.65,
19-October-2018,654.82,654.94,646.43,650.58,
22-October-2018,656.64,658.75,641.03,641.75,
23-October-2018,636.69,638.94,627.91,631.50,
24-October-2018,636.08,641.15,630.78,639.86,
25-October-2018,636.33,639.50,633.09,637.48,
26-October-2018,638.76,640.00,629.60,633.54,
29-October-2018,638.82,644.18,632.97,643.13,
30-October-2018,644.63,647.72,640.52,642.50,
31-October-2018,645.06,656.09,638.22,655.12,
1-November-2018,657.98,657.98,651.69,653.01,
2-November-2018,657.13,666.33,656.69,661.70,
5-November-2018,663.91,664.14,659.41,661.60,
