Date,Open,High,Low,Close
8-June-2020,696.73,702.15,692.94,694.91,
9-June-2020,697.97,703.13,689.56,691.73,
10-June-2020,693.15,694.53,686.96,689.86,
11-June-2020,691.77,691.77,674.24,674.95,
12-June-2020,659.72,678.40,657.02,677.56,
15-June-2020,679.86,680.53,667.24,669.78,
16-June-2020,677.00,681.10,666.32,670.44,
17-June-2020,667.57,674.04,667.07,670.19,
18-June-2020,669.60,675.90,668.58,674.25,
19-June-2020,676.58,681.18,673.71,679.83,
22-June-2020,683.20,693.23,682.72,690.79,
23-June-2020,693.08,703.22,691.99,702.60,
24-June-2020,706.33,713.15,702.68,704.36,
25-June-2020,699.56,708.68,697.19,703.54,
26-June-2020,707.30,713.74,706.16,709.78,
29-June-2020,707.34,708.24,698.99,701.61,
30-June-2020,703.36,708.63,703.17,705.36,
1-July-2020,707.39,707.39,701.83,704.49,
2-July-2020,707.26,715.02,707.03,714.52,
3-July-2020,715.63,722.76,715.61,721.96,
6-July-2020,726.79,728.57,723.70,726.05,
7-July-2020,728.41,731.06,721.24,729.82,
8-July-2020,731.89,731.90,721.20,722.56,
9-July-2020,724.42,725.18,717.55,719.75,
10-July-2020,719.04,719.11,714.44,716.63,
13-July-2020,721.11,726.60,720.57,725.64,
14-July-2020,726.37,726.84,715.96,716.53,
15-July-2020,722.48,733.47,721.72,724.74,
16-July-2020,732.26,733.78,724.31,729.29,
17-July-2020,733.11,737.93,730.07,736.45,
20-July-2020,740.36,748.21,738.62,746.47,
21-July-2020,753.27,753.96,742.85,743.60,
22-July-2020,747.05,747.41,734.63,738.81,
23-July-2020,739.61,741.43,737.88,740.48,
24-July-2020,740.01,740.01,731.60,739.47,
27-July-2020,739.58,742.18,732.90,737.76,
28-July-2020,741.25,747.85,739.86,746.81,
29-July-2020,748.50,750.97,744.87,747.31,
30-July-2020,750.00,754.27,743.98,746.03,
31-July-2020,747.24,753.13,743.78,747.89,
3-August-2020,749.16,750.94,741.11,741.63,
4-August-2020,745.82,749.23,742.11,743.54,
5-August-2020,745.67,749.03,742.11,744.25,
6-August-2020,747.08,753.14,746.66,752.26,
7-August-2020,754.41,755.57,750.79,754.48,
10-August-2020,758.30,760.09,756.46,757.27,
11-August-2020,761.12,767.21,757.47,758.07,
12-August-2020,759.34,759.57,754.26,758.80,
13-August-2020,761.78,766.34,760.36,763.88,
14-August-2020,764.99,766.54,755.05,757.01,
17-August-2020,760.02,766.25,754.77,764.83,
18-August-2020,767.73,771.74,767.51,769.23,
19-August-2020,771.90,775.86,768.41,769.17,
20-August-2020,766.77,768.15,763.10,766.81,
21-August-2020,770.76,774.89,770.20,772.46,
24-August-2020,775.20,776.79,772.53,773.51,
25-August-2020,776.13,776.98,769.68,774.48,
26-August-2020,778.06,778.96,774.72,777.74,
27-August-2020,779.63,780.32,774.85,775.75,
28-August-2020,779.34,782.99,773.79,774.23,
31-August-2020,778.82,782.49,751.77,754.30,
1-September-2020,757.61,762.92,749.23,754.43,
2-September-2020,757.71,763.28,756.08,761.34,
3-September-2020,762.70,772.37,762.48,771.20,
4-September-2020,760.20,766.43,756.13,757.32,
7-September-2020,759.55,762.65,753.77,762.04,
8-September-2020,764.12,766.38,756.27,757.70,
9-September-2020,753.29,758.53,750.36,757.75,
10-September-2020,762.17,762.77,755.66,761.13,
11-September-2020,761.23,768.87,760.53,768.22,
14-September-2020,771.70,784.33,771.70,781.04,
15-September-2020,783.29,786.97,780.87,784.32,
16-September-2020,786.68,787.67,783.43,787.02,
17-September-2020,785.29,790.27,783.20,783.82,
18-September-2020,787.46,788.87,783.43,785.76,
21-September-2020,787.07,788.31,766.85,769.92,
22-September-2020,771.16,771.79,753.18,763.28,
23-September-2020,765.99,770.96,758.76,764.89,
24-September-2020,761.84,761.84,745.39,747.14,
25-September-2020,753.77,762.82,751.85,761.26,
28-September-2020,768.03,770.08,763.18,768.96,
29-September-2020,773.91,775.83,765.59,766.26,
30-September-2020,768.50,771.06,764.88,769.49,
1-October-2020,776.25,779.13,775.02,777.17,
5-October-2020,782.40,785.24,780.01,784.25,
6-October-2020,788.37,789.42,783.54,785.83,
7-October-2020,787.33,791.37,785.63,790.61,
8-October-2020,797.17,800.36,794.86,797.84,
9-October-2020,799.94,799.94,793.00,796.14,
12-October-2020,800.08,800.42,791.29,793.43,
13-October-2020,793.58,797.94,791.96,793.12,
14-October-2020,792.19,792.19,786.34,789.80,
15-October-2020,793.58,793.60,780.11,781.15,
16-October-2020,783.14,788.47,781.27,787.50,
19-October-2020,791.01,795.76,789.04,794.49,
20-October-2020,793.92,798.60,793.08,796.44,
21-October-2020,799.70,800.81,787.50,793.14,
22-October-2020,792.97,795.46,789.74,794.39,
23-October-2020,799.16,800.12,795.23,796.25,
26-October-2020,797.74,798.62,785.05,789.21,
27-October-2020,791.73,808.32,791.73,807.35,
28-October-2020,809.40,809.49,800.99,802.29,
29-October-2020,795.15,803.61,795.15,802.28,
30-October-2020,803.53,809.05,797.20,801.60,
2-November-2020,804.28,804.89,795.17,796.92,
3-November-2020,800.61,805.39,799.36,800.78,
4-November-2020,802.78,810.22,801.93,807.31,
5-November-2020,812.59,821.96,812.59,821.36,
6-November-2020,822.22,825.04,819.23,824.41,
9-November-2020,831.80,834.94,829.07,833.45,
10-November-2020,833.80,833.80,820.65,822.85,
11-November-2020,826.61,832.75,822.19,832.11,
12-November-2020,831.76,833.74,827.33,830.90,
13-November-2020,830.52,833.44,828.40,832.89,
14-November-2020,839.02,839.31,835.21,836.56,
17-November-2020,840.09,842.00,836.59,841.10,
18-November-2020,841.75,842.12,835.80,840.91,
19-November-2020,838.29,843.46,831.82,833.30,
20-November-2020,836.02,844.68,834.94,843.45,
23-November-2020,846.26,854.57,845.27,853.81,
24-November-2020,858.21,859.35,855.47,856.90,
25-November-2020,858.64,859.75,842.61,843.74,
26-November-2020,846.08,855.35,842.18,853.46,
27-November-2020,856.27,863.55,852.72,856.67,
1-December-2020,865.74,866.70,859.17,864.50,
2-December-2020,866.42,872.97,864.16,872.70,
3-December-2020,880.24,880.31,873.49,878.78,
4-December-2020,881.14,884.83,877.44,884.01,
7-December-2020,886.33,890.22,885.24,889.76,
8-December-2020,892.67,895.16,884.38,890.71,
9-December-2020,895.04,897.54,894.14,895.65,
10-December-2020,893.90,899.11,887.86,898.13,
11-December-2020,899.76,903.49,892.62,898.96,
14-December-2020,901.72,905.18,899.73,904.44,
15-December-2020,905.36,905.37,897.82,900.11,
16-December-2020,905.23,912.80,904.73,912.07,
17-December-2020,914.31,919.05,911.22,914.64,
18-December-2020,918.19,923.48,913.23,921.14,
21-December-2020,920.07,920.22,881.05,894.44,
22-December-2020,890.36,910.25,881.77,908.05,
23-December-2020,912.95,919.33,909.63,918.36,
24-December-2020,924.44,926.53,917.85,923.12,
28-December-2020,928.67,930.13,926.14,929.26,
29-December-2020,932.56,934.57,927.71,931.46,
30-December-2020,935.87,936.03,928.27,933.19,
31-December-2020,932.96,934.59,930.21,933.86,
1-January-2021,935.62,939.81,934.63,938.41,
4-January-2021,942.24,949.02,938.60,948.14,
5-January-2021,945.46,955.58,942.48,954.40,
6-January-2021,957.23,963.52,950.36,959.17,
7-January-2021,964.84,965.95,954.50,955.79,
8-January-2021,962.69,977.16,961.86,976.10,
11-January-2021,983.05,987.12,979.24,985.69,
12-January-2021,986.08,986.40,980.39,981.56,
13-January-2021,986.67,987.27,967.83,975.80,
14-January-2021,976.13,978.42,968.47,976.48,
15-January-2021,978.80,979.25,955.67,958.66,
18-January-2021,958.09,960.72,944.28,947.49,
19-January-2021,951.29,962.02,951.29,961.07,
20-January-2021,963.71,969.97,961.92,966.64,
21-January-2021,972.89,973.70,958.25,962.09,
22-January-2021,965.84,970.12,960.00,961.31,
25-January-2021,968.75,969.09,947.22,953.85,
27-January-2021,955.88,955.88,942.22,947.60,
28-January-2021,939.38,944.13,935.78,938.41,
